Filename,VST,CEFR,CEFR_Number
W_THA_152.txt,15,A2_0,1
W_JPN_164.txt,19,B1_1,2
W_JPN_170.txt,22,B1_2,3
W_CHN_022.txt,21,A2_0,1
W_SIN_010.txt,45,B1_2,3
W_JPN_366.txt,19,B1_1,2
W_THA_378.txt,23,A2_0,1
W_JPN_400.txt,20,A2_0,1
W_THA_393.txt,40,B1_2,3
W_THA_230.txt,24,A2_0,1
W_JPN_206.txt,17,A2_0,1
W_PHL_069.txt,46,B1_2,3
W_KOR_074.txt,35,A2_0,1
W_THA_032.txt,23,A2_0,1
W_THA_026.txt,11,A2_0,1
W_CHN_142.txt,28,B1_1,2
W_JPN_004.txt,40,B2_0,4
W_CHN_157.txt,32,B1_1,2
W_CHN_143.txt,28,B1_1,2
W_THA_027.txt,36,B1_2,3
W_KOR_075.txt,38,B2_0,4
W_SIN_165.txt,45,B1_2,3
W_KOR_115.txt,39,B1_1,2
W_THA_386.txt,36,B1_2,3
W_TWN_111.txt,21,B1_1,2
W_JPN_367.txt,22,A2_0,1
W_THA_351.txt,37,B1_2,3
W_SIN_005.txt,47,B2_0,4
W_THA_345.txt,39,B1_2,3
W_THA_190.txt,17,A2_0,1
W_JPN_171.txt,20,B1_1,2
W_THA_147.txt,12,A2_0,1
W_THA_145.txt,32,B1_1,2
W_JPN_173.txt,23,B1_1,2
W_THA_179.txt,15,A2_0,1
W_JPN_167.txt,26,A2_0,1
W_CHN_035.txt,29,B1_1,2
W_HKG_061.txt,44,B2_0,4
W_THA_353.txt,40,B1_2,3
W_JPN_239.txt,21,A2_0,1
W_KOR_088.txt,26,A2_0,1
W_TWN_098.txt,40,B1_2,3
W_IDN_008.txt,38,A2_0,1
W_TWN_067.txt,22,A2_0,1
W_KOR_077.txt,47,B1_1,2
W_THA_025.txt,30,B1_1,2
W_THA_031.txt,40,B1_2,3
W_CHN_155.txt,33,B1_1,2
W_KOR_274.txt,43,B2_0,4
W_CHN_140.txt,21,A2_0,1
W_KOR_062.txt,41,A2_0,1
W_SIN_172.txt,45,B1_2,3
W_KOR_089.txt,27,A2_0,1
W_TWN_106.txt,33,B1_2,3
W_IDN_182.txt,45,A2_0,1
W_JPN_358.txt,31,A2_0,1
W_CHN_034.txt,34,B1_1,2
W_CHN_020.txt,25,B1_1,2
W_JPN_172.txt,26,B1_1,2
W_CHN_018.txt,39,B1_2,3
W_THA_140.txt,20,A2_0,1
W_THA_183.txt,23,A2_0,1
W_JPN_374.txt,30,B1_1,2
W_CHN_232.txt,38,B1_1,2
W_JPN_348.txt,25,B1_1,2
W_SIN_002.txt,44,B1_2,3
W_THA_342.txt,42,A2_0,1
W_TWN_102.txt,45,B1_1,2
W_JPN_200.txt,25,B1_1,2
W_JPN_214.txt,23,A2_0,1
W_THA_222.txt,15,A2_0,1
W_SIN_162.txt,46,B1_2,3
W_JPN_228.txt,20,A2_0,1
W_JPN_002.txt,33,B1_2,3
W_CHN_144.txt,32,B1_1,2
W_JPN_016.txt,34,B1_2,3
W_THA_034.txt,40,B1_2,3
W_CHN_187.txt,35,B1_1,2
W_KOR_259.txt,44,B2_0,4
W_CHN_145.txt,28,B1_1,2
W_JPN_003.txt,34,A2_0,1
W_SIN_163.txt,45,B1_2,3
W_THA_237.txt,44,B1_2,3
W_THA_223.txt,44,B1_2,3
W_JPN_215.txt,21,B1_1,2
W_CHN_353.txt,38,B2_0,4
W_KOR_113.txt,42,A2_0,1
W_THA_343.txt,33,B1_1,2
W_THA_357.txt,46,B1_2,3
W_IDN_193.txt,41,A2_0,1
W_HKG_071.txt,43,B1_2,3
W_HKG_065.txt,44,B2_0,4
W_THA_155.txt,21,A2_0,1
W_JPN_163.txt,23,A2_0,1
W_THA_169.txt,22,A2_0,1
W_JPN_177.txt,29,B1_2,3
W_JPN_161.txt,21,A2_0,1
W_CHN_027.txt,28,B1_1,2
W_JPN_175.txt,19,B1_1,2
W_THA_157.txt,45,B1_2,3
W_JPN_149.txt,26,B1_1,2
W_IDN_191.txt,40,A2_0,1
W_JPN_363.txt,21,A2_0,1
W_SIN_015.txt,45,B1_2,3
W_SIN_001.txt,45,B1_2,3
W_THA_235.txt,37,B1_2,3
W_CHN_191.txt,26,B1_1,2
W_JPN_014.txt,37,B1_1,2
W_SIN_174.txt,47,B2_0,4
W_THA_234.txt,44,B1_2,3
W_SIN_148.txt,47,B2_0,4
W_JPN_216.txt,31,B1_2,3
W_TWN_100.txt,37,B1_2,3
W_KOR_138.txt,45,B2_0,4
W_THA_383.txt,28,B1_1,2
W_THA_340.txt,46,B1_2,3
W_JPN_376.txt,24,B1_1,2
W_THA_368.txt,28,B1_1,2
W_THA_195.txt,10,A2_0,1
W_THA_156.txt,41,B1_2,3
W_CHN_026.txt,16,A2_0,1
W_THA_131.txt,26,B1_1,2
W_CHN_041.txt,15,A2_0,1
W_JPN_113.txt,20,B1_1,2
W_HKG_015.txt,39,B2_0,4
W_CHN_082.txt,26,B1_1,2
W_JPN_339.txt,33,B1_1,2
W_JPN_311.txt,28,A2_0,1
W_KOR_177.txt,46,B2_0,4
W_SIN_098.txt,41,B1_2,3
W_THA_253.txt,30,B1_1,2
W_SIN_113.txt,42,B1_2,3
W_THA_284.txt,31,B1_1,2
W_KOR_017.txt,41,B1_1,2
W_JPN_073.txt,28,B1_2,3
W_JPN_067.txt,30,B1_2,3
W_JPN_098.txt,24,A2_0,1
W_KOR_215.txt,32,B2_0,4
